"Ticker","company_name","Return","Volatility","Cluster","Cluster_Label"
"FANG","Diamondback Energy",-0.403573207565196,0.483812697154736,"1","Conservative / Defensive"
"VMC","Vulcan Materials Company",0.0423488488883152,0.279843334813896,"3","Stable Yield"
"PEG","Public Service Enterprise Group",-0.0226376644933867,0.243337948158264,"2","Aggressive Growth"
"TGT","Target Corporation",-0.686832443430589,0.390896931225785,"1","Conservative / Defensive"
"DAL","Delta Air Lines",-0.381615772081293,0.593088056333011,"1","Conservative / Defensive"
"WDC","Western Digital",0.653746043902879,0.556051270921003,"4","High Volatility / Speculative"
"YUM","Yum! Brands",0.21633874256273,0.269479977141635,"3","Stable Yield"
"FICO","Fair Isaac",-0.183073847146731,0.504651800949568,"3","Stable Yield"
"KMB","Kimberly-Clark",-0.0274426803546374,0.212287919248047,"3","Stable Yield"
"MLM","Martin Marietta Materials",0.151028008084397,0.261864562966625,"3","Stable Yield"
"RMD","ResMed",0.253064035158184,0.310038776348826,"3","Stable Yield"
"A","Agilent Technologies",-0.255764649069432,0.345280899523301,"3","Stable Yield"
"ROK","Rockwell Automation",0.349225666235369,0.398433078998503,"3","Stable Yield"
"CCL","Carnival",0.244097034358181,0.570214031095447,"4","High Volatility / Speculative"
"HSY","Hershey Company (The)",-0.0353399812791979,0.284016064930904,"3","Stable Yield"
"SYY","Sysco",0.000825082068805342,0.239176379221904,"2","Aggressive Growth"
"WEC","WEC Energy Group",0.214770094158167,0.1983699414054,"2","Aggressive Growth"
"ED","Consolidated Edison",0.249273159351283,0.237688407894769,"2","Aggressive Growth"
"HIG","Hartford (The)",0.315412681789967,0.241048380008277,"3","Stable Yield"
"CHTR","Charter Communications",0.32734220073312,0.374949268223135,"3","Stable Yield"
"CAH","Cardinal Health",0.735402390075269,0.223719870792581,"2","Aggressive Growth"
"PRU","Prudential Financial",-0.200012179339727,0.321533032937103,"3","Stable Yield"
"PCG","PG&E Corporation",-0.752813019027625,0.35939412636131,"1","Conservative / Defensive"
"KDP","Keurig Dr Pepper",0.0835483216158149,0.21417051508922,"2","Aggressive Growth"
"XYL","Xylem Inc.",0.227924943760018,0.268538203596717,"3","Stable Yield"
"OTIS","Otis Worldwide",0.14771776397573,0.246749938449188,"2","Aggressive Growth"
"FIS","Fidelity National Information Services",0.0340452275956558,0.341565898919581,"2","Aggressive Growth"
"MCHP","Microchip Technology",0.443235199354007,0.725096439248571,"4","High Volatility / Speculative"
"LYV","Live Nation Entertainment",0.328097047742989,0.348602697232072,"2","Aggressive Growth"
"IQV","IQVIA",-0.444890443214615,0.389708518039418,"1","Conservative / Defensive"
"EL","Estée Lauder Companies (The)",0.183652141644058,0.581028998198695,"4","High Volatility / Speculative"
"ACGL","Arch Capital Group",-0.00753465413471215,0.283297407454311,"3","Stable Yield"
"VRSK","Verisk Analytics",0.27178510533011,0.23346343175882,"3","Stable Yield"
"UAL","United Airlines Holdings",-0.37696302658076,0.670865710902716,"1","Conservative / Defensive"
"EQT","EQT Corporation",0.433977880605086,0.418662478910436,"4","High Volatility / Speculative"
"WAB","Wabtec",0.213302838687006,0.342858589341215,"3","Stable Yield"
"WTW","Willis Towers Watson",-0.0187374004366486,0.231805569313289,"3","Stable Yield"
"HPE","Hewlett Packard Enterprise",-0.101370081068376,0.548547698274675,"1","Conservative / Defensive"
"GEHC","GE HealthCare",-0.117790632959209,0.446171476405977,"1","Conservative / Defensive"
"LVS","Las Vegas Sands",-0.285385222465048,0.442843315333561,"1","Conservative / Defensive"
"CTSH","Cognizant",0.0436934479193144,0.282221165621861,"2","Aggressive Growth"
"VICI","Vici Properties",0.244421975625228,0.211850866055456,"2","Aggressive Growth"
"DD","DuPont",-0.197972704407322,0.424186370850943,"1","Conservative / Defensive"
"STT","State Street Corporation",0.171160823543652,0.326368997175047,"3","Stable Yield"
"TRGP","Targa Resources",-0.10475495108134,0.440993683640456,"3","Stable Yield"
"NRG","NRG Energy",1.14313147880815,0.651914345539873,"4","High Volatility / Speculative"
"SMCI","Supermicro",1.01874998248711,1.04250357314044,"4","High Volatility / Speculative"
"RJF","Raymond James Financial",-0.0220173321706825,0.312497652415855,"3","Stable Yield"
"CSGP","CoStar Group",0.263936753534596,0.352689225200008,"2","Aggressive Growth"
"NUE","Nucor",0.25739317176576,0.43941444700639,"3","Stable Yield"
"IBKR","Interactive Brokers Group",0.410417070682778,0.546558207845665,"4","High Volatility / Speculative"
"LEN","Lennar",-0.337630187074115,0.346171789375668,"1","Conservative / Defensive"
"HUM","Humana",-0.0684599148054536,0.424008541748506,"3","Stable Yield"
"IR","Ingersoll Rand",-0.17611652384747,0.352734110661363,"3","Stable Yield"
"KVUE","Kenvue",-0.034538845123263,0.275019300999181,"2","Aggressive Growth"
"BRO","Brown & Brown",0.203688237611549,0.242765566423985,"3","Stable Yield"
"EXR","Extra Space Storage",-0.00493802094180366,0.262289443558046,"3","Stable Yield"
"VTR","Ventas",0.178607043790849,0.264104688806099,"2","Aggressive Growth"
"IRM","Iron Mountain",-0.0436014076534685,0.367285002361483,"3","Stable Yield"
"EME","EMCOR Group, Inc.",0.324892813821097,0.515491635176215,"3","Stable Yield"
"ADM","Archer Daniels Midland",0.103546961083688,0.320543839013341,"2","Aggressive Growth"
"KHC","Kraft Heinz",-0.365276715592516,0.255730021729064,"2","Aggressive Growth"
"WRB","W. R. Berkley Corporation",0.492049264783981,0.253288682754297,"3","Stable Yield"
"TSCO","Tractor Supply",0.0154490752163528,0.322870362670565,"2","Aggressive Growth"
"DTE","DTE Energy",0.187254373793145,0.202378704035049,"3","Stable Yield"
